3	5	39.54
4	1	87.16
3	4	509.62
1	3	334.83
2	5	78.59
4	5	577.49
4	1	105.04
1	5	303.91
3	3	12.32
2	3	919.84
3	2	405.92
3	5	457.97
4	2	687.00
4	1	157.99
3	1	279.79
2	5	631.64
1	1	16.08
2	4	716.92
2	5	356.02
4	5	762.96
3	4	558.32
4	5	674.67
2	3	327.13
2	4	130.12
3	3	123.77
1	1	865.16
2	3	943.89
1	3	726.07
4	1	185.06
4	1	200.60
4	1	561.66
2	2	691.88
4	2	353.75
4	5	969.00
2	4	429.43
3	3	127.45
3	3	255.00
3	4	496.51
4	4	174.11
2	2	774.11
4	5	158.33
3	1	699.48
1	4	357.98
2	2	962.21
2	1	827.76
3	5	438.92
4	4	515.22
3	3	123.59
3	4	747.66
3	3	306.43
1	1	565.13
1	1	263.46
4	1	41.00
4	3	124.97
4	2	534.05
4	1	282.04
4	5	401.54
4	4	149.43
4	4	248.60
2	3	698.17
1	5	680.04
3	5	555.14
3	5	849.27
2	5	343.29
4	5	329.19
2	3	882.32
2	5	766.68
2	1	318.04
1	4	774.11
4	3	521.86
4	1	794.58
2	2	855.88
2	3	241.59
4	5	105.70
2	4	283.51
4	1	997.86
1	5	352.23
3	1	110.48
2	5	304.46
1	1	613.04
1	5	652.76
4	2	13.65
4	1	707.57
4	3	351.82
4	4	714.12
3	2	851.17
4	3	909.69
4	1	352.38
3	5	632.55
3	1	292.54
1	5	29.69
2	3	653.59
3	3	176.88
3	5	209.69
4	1	88.50
2	1	174.65
4	4	50.01
4	4	914.79
3	1	101.25
4	3	452.98
2	5	504.98
4	4	69.72
4	5	976.75
4	3	772.62
2	5	301.61
3	4	526.86
1	5	814.33
1	2	344.67
1	1	525.41
4	5	810.47
1	4	218.16
1	4	103.39
1	2	980.12
2	4	40.40
3	2	296.09
4	5	558.27
4	4	910.65
4	5	36.34
2	3	292.11
3	5	545.28
2	2	506.34
4	2	992.60
1	2	962.94
4	3	811.00
2	3	506.18
1	1	65.90
3	2	121.92
3	4	62.51
1	3	113.07
1	3	502.35
4	5	512.68
1	5	5.40
4	2	143.25
2	2	205.52
2	3	155.47
3	2	623.48
4	1	620.32
1	1	900.96
3	4	657.26
2	2	178.30
3	2	916.57
1	2	761.80
1	4	270.82
3	3	110.25
3	1	634.48
1	5	300.07
3	4	701.85
3	5	840.28
2	1	740.47
2	2	678.17
1	3	757.17
1	3	692.66
4	5	827.19
3	3	527.47
2	3	817.08
4	2	87.10
2	4	392.90
2	1	512.17
3	3	208.62
1	2	66.42
3	5	838.88
2	3	69.53
4	3	427.76
4	1	676.73
3	5	305.94
4	1	224.74
1	5	946.85
4	1	166.61
3	3	351.48
4	2	785.72
1	3	662.12
1	1	297.18
4	5	64.58
1	4	113.65
3	4	585.39
2	2	347.02
3	5	809.63
1	4	937.55
4	4	369.70
4	2	330.20
1	1	803.06
4	2	579.43
4	3	836.13
1	3	735.96
4	2	659.09
2	1	471.55
3	5	50.97
1	2	654.27
4	3	373.72
3	1	291.61
1	5	638.03
2	1	5.18
4	2	121.59
3	4	766.63
1	2	246.15
3	4	475.86
2	4	590.19
1	4	465.96
4	1	499.26
1	3	856.91
3	3	816.12
1	4	4.97
2	1	780.55
4	3	872.65
1	4	268.36
1	2	408.71
4	2	895.40
4	5	916.21
4	1	678.40
1	1	23.14
4	5	965.86
3	5	353.16
1	3	710.73
4	4	137.84
4	2	585.16
1	3	966.73
4	1	371.11
1	1	218.37
1	1	680.77
3	3	182.41
3	2	633.26
3	1	318.00
1	2	286.31
2	2	132.11
3	2	577.29
2	2	713.21
1	4	976.54
1	2	240.10
2	2	658.05
4	5	791.75
3	4	958.39
4	2	86.47
4	3	173.09
4	5	477.49
2	4	261.40
3	3	836.30
2	4	274.25
4	2	689.26
4	1	724.85
2	3	711.04
3	4	609.05
2	5	314.08
3	5	600.17
1	2	419.10
4	4	236.05
1	5	761.36
4	2	500.84
4	4	724.66
1	1	0.56
3	1	414.91
3	4	18.15
4	1	140.78
1	3	980.85
3	4	271.76
1	1	513.26
4	3	180.71
4	3	518.24
4	1	519.05
2	3	663.77
1	4	822.20
4	5	326.86
4	2	365.62
4	2	999.02
2	2	600.20
2	1	468.43
2	1	199.62
4	5	451.96
3	5	955.54
3	5	895.63
3	4	209.75
1	3	175.12
4	2	249.10
3	3	129.36
4	3	858.96
1	2	570.19
3	3	30.06
1	5	979.48
4	2	725.75
3	1	200.25
2	4	202.72
3	5	917.15
1	5	242.79
3	1	134.83
1	2	403.29
4	3	539.79
2	4	999.98
2	5	523.18
1	3	618.33
2	2	305.77
2	2	554.09
4	2	413.20
4	1	93.26
4	3	513.56
2	3	479.52
4	3	11.39
1	2	46.72
3	3	412.87
3	3	697.78
2	5	306.30
2	5	282.57
1	3	270.26
3	5	547.12
2	5	357.67
2	3	483.60
3	3	168.50
1	1	640.18
1	1	895.93
2	3	50.18
3	5	381.92
4	5	897.72
4	3	85.37
2	3	515.75
1	3	540.79
3	3	255.58
1	5	125.06
2	4	388.43
2	3	600.59
1	1	488.47
1	3	340.43
4	2	62.27
1	2	22.05
4	1	212.11
1	3	632.84
2	4	591.95
3	2	964.32
3	4	778.75
2	4	299.98
1	3	596.97
1	1	461.67
4	1	995.11
4	2	984.57
3	4	406.10
1	4	249.02
3	5	855.10
3	2	654.97
2	2	592.58
4	1	317.80
1	4	334.10
3	3	195.08
2	2	445.14
1	5	655.81
1	3	664.32
4	3	434.50
3	2	416.52
1	1	712.42
3	3	750.31
3	5	485.67
1	1	303.70
3	1	724.58
1	2	60.04
2	1	781.64
2	4	980.38
4	3	41.38
1	3	137.21
3	2	196.28
1	5	937.51
2	3	954.00
1	4	126.21
3	3	559.30
1	1	853.87
4	3	921.14
2	2	600.60
4	5	234.29
1	3	185.59
3	3	981.19
2	5	217.02
3	1	131.19
3	1	978.35
2	1	465.94
1	2	291.08
3	1	903.04
3	2	600.87
4	1	199.59
1	1	298.13
3	4	740.72
3	4	997.71
4	5	119.22
2	2	692.98
3	5	667.28
3	3	448.89
2	3	367.49
2	4	562.59
2	2	693.75
3	1	891.79
2	4	409.97
4	3	986.63
2	2	868.34
3	1	694.04
3	1	16.71
3	3	84.64
3	4	167.50
2	1	289.15
2	4	918.68
4	4	931.66
3	3	793.28
2	5	842.10
2	3	213.32
2	4	843.15
4	4	27.99
3	3	391.65
4	5	494.61
1	3	964.17
2	1	732.90
1	1	88.14
2	1	669.39
1	5	961.63
2	2	443.71
4	4	329.21
1	1	47.55
3	3	764.63
3	5	940.73
3	2	590.35
3	4	608.71
1	1	311.50
2	3	734.97
1	1	275.32
2	5	345.48
2	2	827.94
1	3	894.96
1	3	666.92
1	4	667.48
4	1	229.85
4	2	640.56
4	4	120.44
4	3	192.99
2	2	98.24
4	3	371.74
2	3	89.78
4	5	559.77
3	2	549.39
4	4	103.34
2	3	823.79
3	3	815.98
2	1	928.47
4	2	239.29
1	5	726.99
2	5	302.64
3	1	767.97
2	4	952.85
3	4	319.27
3	3	838.85
4	2	122.94
3	5	432.80
4	2	151.30
2	3	113.00
3	5	150.24
4	3	942.78
2	5	797.98
1	3	659.71
3	1	755.71
4	5	39.55
4	4	714.04
1	2	220.30
2	5	166.35
4	2	585.51
3	4	618.17
1	1	938.46
3	2	312.73
3	5	75.95
3	1	181.18
4	4	119.19
2	3	725.57
4	3	200.66
2	2	893.73
2	2	223.71
3	5	953.54
4	3	854.03
1	1	926.31
1	2	615.62
4	1	375.07
2	4	977.93
1	2	281.51
1	2	687.52
4	2	633.99
4	5	638.77
4	3	614.72
4	2	413.37
2	3	409.05
2	4	126.14
3	2	42.79
2	5	430.03
4	1	760.46
4	3	960.86
4	2	47.47
1	2	618.17
1	4	27.76
3	4	312.25
1	1	434.09
2	4	711.34
3	1	797.91
4	3	881.89
3	4	653.75
4	5	301.52
1	3	601.99
3	1	56.92
1	1	829.47
4	3	751.42
2	5	342.51
1	4	470.86
3	2	109.62
4	1	306.47
4	2	890.98
2	2	152.34
1	5	624.48
2	2	849.66
3	1	386.03
2	3	74.36
3	3	929.91
4	1	499.27
4	3	712.62
2	2	955.68
3	3	779.56
3	5	609.29
2	4	893.89
1	4	375.77
4	2	427.10
4	1	545.44
2	4	249.98
1	3	595.39
4	2	250.45
2	2	976.60
3	4	430.05
4	5	156.75
3	2	209.10
1	1	283.46
1	3	385.58
1	4	900.78
3	4	95.59
4	4	5.10
1	2	82.35
3	1	251.27
1	3	308.93
1	5	642.94
1	1	227.36
1	4	508.41
3	4	348.76
4	4	825.54
1	5	115.96
3	2	988.42
4	1	960.83
1	4	524.33
2	4	992.92
1	5	521.16
2	1	621.26
1	2	364.98
4	4	487.18
4	4	622.13
4	5	471.13
4	2	963.09
2	5	816.27
1	4	536.03
4	1	892.63
2	3	417.48
4	2	723.10
4	5	358.12
3	2	271.58
2	2	997.14
2	4	714.35
4	3	64.12
3	5	29.76
1	1	631.34
1	1	187.60
1	2	971.19
3	5	958.14
4	5	674.12
2	4	58.49
2	3	773.34
3	2	950.61
4	1	123.79
2	4	282.83
1	5	979.36
1	4	756.27
1	5	769.73
3	1	871.68
3	1	326.04
1	3	690.38
2	2	519.85
2	3	741.34
3	5	912.67
3	4	839.69
2	3	285.15
2	1	658.52
3	4	205.56
3	3	789.68
1	2	148.81
1	3	489.00
4	2	362.09
4	4	751.78
3	1	158.54
1	4	987.89
1	1	467.38
1	2	764.69
3	5	541.83
4	5	946.76
2	2	535.29
1	5	10.03
1	5	676.96
4	4	261.97
4	2	88.75
4	2	194.19
3	5	613.84
1	5	235.00
2	4	731.74
4	3	66.25
4	4	121.12
2	2	669.19
4	1	78.26
1	5	798.63
1	3	280.79
3	5	646.68
1	5	55.80
1	5	536.56
3	4	757.93
4	2	918.21
4	2	388.20
4	1	934.12
1	4	559.10
2	1	848.14
4	4	992.78
3	3	217.07
